,index,SUBJECT,Subject,Measure,Frequency,Unit,Reference Period,Level,Name
383,284742,LFEM74MA,Labour Force Survey - quarterly levels > Employed population > Aged 15-74 > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Employed population Aged 15-74 Males
384,285251,LFEM74MA,Labour Force Survey - quarterly levels > Employed population > Aged 15-74 > Males,Growth rate previous period,Monthly,Percentage,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Employed population Aged 15-74 Males
385,285759,LFEM74MA,Labour Force Survey - quarterly levels > Employed population > Aged 15-74 > Males,"Growth rate previous period, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Employed population Aged 15-74 Males
386,286267,LFEM74TT,Labour Force Survey - quarterly levels > Employed population > Aged 15-74 > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Employed population Aged 15-74 All persons
387,286776,LFEM74TT,Labour Force Survey - quarterly levels > Employed population > Aged 15-74 > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Employed population Aged 15-74 All persons
388,287285,LFEM74TT,Labour Force Survey - quarterly levels > Employed population > Aged 15-74 > All persons,Growth rate previous period,Monthly,Percentage,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Employed population Aged 15-74 All persons
389,287793,LFEM74TT,Labour Force Survey - quarterly levels > Employed population > Aged 15-74 > All persons,"Growth rate previous period, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Employed population Aged 15-74 All persons
390,288301,LFEMTTFE,Labour Force Survey - quarterly levels > Employed population > Aged 15 and over > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Employed population Aged 15 and over Females
391,289122,LFEMTTFE,Labour Force Survey - quarterly levels > Employed population > Aged 15 and over > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Employed population Aged 15 and over Females
392,289943,LFEMTTMA,Labour Force Survey - quarterly levels > Employed population > Aged 15 and over > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Employed population Aged 15 and over Males
393,290764,LFEMTTMA,Labour Force Survey - quarterly levels > Employed population > Aged 15 and over > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Employed population Aged 15 and over Males
394,291585,LFEMTTTT,Labour Force Survey - quarterly levels > Employed population > Aged 15 and over > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Employed population Aged 15 and over All persons
395,292406,LFEMTTTT,Labour Force Survey - quarterly levels > Employed population > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Employed population Aged 15 and over All persons
396,293227,LFESEETT,Labour Force Survey - quarterly levels > Employment - by professional status > Employees > Total,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Employment - by professional status Employees Total
397,294048,LFESEETT,Labour Force Survey - quarterly levels > Employment - by professional status > Employees > Total,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Employment - by professional status Employees Total
398,294869,LFHU24FE,Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 15-24 > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Harmonised unemployment - monthly levels Aged 15-24 Females
399,295690,LFHU24FE,Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 15-24 > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Harmonised unemployment - monthly levels Aged 15-24 Females
400,296511,LFHU24MA,Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 15-24 > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Harmonised unemployment - monthly levels Aged 15-24 Males
401,297332,LFHU24MA,Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 15-24 > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Harmonised unemployment - monthly levels Aged 15-24 Males
402,298153,LFHU24TT,Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 15-24 > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Harmonised unemployment - monthly levels Aged 15-24 All persons
403,298974,LFHU24TT,Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 15-24 > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Harmonised unemployment - monthly levels Aged 15-24 All persons
404,299795,LFHUADFE,Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 25 and over > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Harmonised unemployment - monthly levels Aged 25 and over Females
405,300616,LFHUADFE,Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 25 and over > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Harmonised unemployment - monthly levels Aged 25 and over Females
406,301437,LFHUADMA,Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 25 and over > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Harmonised unemployment - monthly levels Aged 25 and over Males
407,302258,LFHUADMA,Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 25 and over > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Harmonised unemployment - monthly levels Aged 25 and over Males
408,303079,LFHUADTT,Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 25 and over > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Harmonised unemployment - monthly levels Aged 25 and over All persons
409,303900,LFHUADTT,Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 25 and over > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Harmonised unemployment - monthly levels Aged 25 and over All persons
410,304721,LFHUTTFE,Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Total > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Harmonised unemployment - monthly levels Total Females
411,305542,LFHUTTFE,Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Total > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Harmonised unemployment - monthly levels Total Females
412,306363,LFHUTTMA,Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Total > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Harmonised unemployment - monthly levels Total Males
413,307184,LFHUTTMA,Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Total > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Harmonised unemployment - monthly levels Total Males
414,308005,LFHUTTTT,Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Total > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Harmonised unemployment - monthly levels Total All persons
415,308826,LFHUTTTT,Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Total > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Harmonised unemployment - monthly levels Total All persons
416,309647,LFIN24FE,Labour Force Survey - quarterly levels > Inactive population > Aged 15-24 > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15-24 Females
417,310204,LFIN24FE,Labour Force Survey - quarterly levels > Inactive population > Aged 15-24 > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15-24 Females
418,310761,LFIN24MA,Labour Force Survey - quarterly levels > Inactive population > Aged 15-24 > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15-24 Males
419,311318,LFIN24MA,Labour Force Survey - quarterly levels > Inactive population > Aged 15-24 > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15-24 Males
420,311875,LFIN24TT,Labour Force Survey - quarterly levels > Inactive population > Aged 15-24 > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15-24 All persons
421,312432,LFIN24TT,Labour Force Survey - quarterly levels > Inactive population > Aged 15-24 > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15-24 All persons
422,312989,LFIN25FE,Labour Force Survey - quarterly levels > Inactive population > Aged 25-54 > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 25-54 Females
423,313546,LFIN25FE,Labour Force Survey - quarterly levels > Inactive population > Aged 25-54 > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 25-54 Females
424,314103,LFIN25MA,Labour Force Survey - quarterly levels > Inactive population > Aged 25-54 > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 25-54 Males
425,314660,LFIN25MA,Labour Force Survey - quarterly levels > Inactive population > Aged 25-54 > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 25-54 Males
426,315217,LFIN25TT,Labour Force Survey - quarterly levels > Inactive population > Aged 25-54 > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 25-54 All persons
427,315774,LFIN25TT,Labour Force Survey - quarterly levels > Inactive population > Aged 25-54 > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 25-54 All persons
428,316331,LFIN55FE,Labour Force Survey - quarterly levels > Inactive population > Aged 55-64 > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 55-64 Females
429,316888,LFIN55FE,Labour Force Survey - quarterly levels > Inactive population > Aged 55-64 > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 55-64 Females
430,317445,LFIN55MA,Labour Force Survey - quarterly levels > Inactive population > Aged 55-64 > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 55-64 Males
431,318002,LFIN55MA,Labour Force Survey - quarterly levels > Inactive population > Aged 55-64 > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 55-64 Males
432,318559,LFIN55TT,Labour Force Survey - quarterly levels > Inactive population > Aged 55-64 > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 55-64 All persons
433,319116,LFIN55TT,Labour Force Survey - quarterly levels > Inactive population > Aged 55-64 > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 55-64 All persons
434,319673,LFIN64FE,Labour Force Survey - quarterly levels > Inactive population > Aged 15-64 > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15-64 Females
435,320230,LFIN64FE,Labour Force Survey - quarterly levels > Inactive population > Aged 15-64 > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15-64 Females
436,320787,LFIN64MA,Labour Force Survey - quarterly levels > Inactive population > Aged 15-64 > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15-64 Males
437,321344,LFIN64MA,Labour Force Survey - quarterly levels > Inactive population > Aged 15-64 > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15-64 Males
438,321901,LFIN64TT,Labour Force Survey - quarterly levels > Inactive population > Aged 15-64 > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15-64 All persons
439,322458,LFIN64TT,Labour Force Survey - quarterly levels > Inactive population > Aged 15-64 > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15-64 All persons
440,323015,LFIN74FE,Labour Force Survey - quarterly levels > Inactive population > Aged 15-74 > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15-74 Females
441,323524,LFIN74FE,Labour Force Survey - quarterly levels > Inactive population > Aged 15-74 > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15-74 Females
442,324033,LFIN74MA,Labour Force Survey - quarterly levels > Inactive population > Aged 15-74 > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15-74 Males
443,324542,LFIN74MA,Labour Force Survey - quarterly levels > Inactive population > Aged 15-74 > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15-74 Males
444,325051,LFIN74TT,Labour Force Survey - quarterly levels > Inactive population > Aged 15-74 > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15-74 All persons
445,325560,LFIN74TT,Labour Force Survey - quarterly levels > Inactive population > Aged 15-74 > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15-74 All persons
446,326069,LFINTTFE,Labour Force Survey - quarterly levels > Inactive population > Aged 15 and over > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15 and over Females
447,326626,LFINTTFE,Labour Force Survey - quarterly levels > Inactive population > Aged 15 and over > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15 and over Females
448,327207,LFINTTMA,Labour Force Survey - quarterly levels > Inactive population > Aged 15 and over > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15 and over Males
449,327764,LFINTTMA,Labour Force Survey - quarterly levels > Inactive population > Aged 15 and over > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15 and over Males
450,328345,LFINTTTT,Labour Force Survey - quarterly levels > Inactive population > Aged 15 and over > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15 and over All persons
451,328902,LFINTTTT,Labour Force Survey - quarterly levels > Inactive population > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Inactive population Aged 15 and over All persons
452,329483,LFUN24FE,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-24 > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15-24 Females
453,330304,LFUN24FE,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-24 > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15-24 Females
454,331125,LFUN24MA,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-24 > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15-24 Males
455,331946,LFUN24MA,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-24 > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15-24 Males
456,332767,LFUN24TT,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-24 > Total,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15-24 Total
457,333588,LFUN24TT,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-24 > Total,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15-24 Total
458,334409,LFUN25FE,Labour Force Survey - quarterly levels > Unemployed population > Aged 25-54 > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 25-54 Females
459,335230,LFUN25FE,Labour Force Survey - quarterly levels > Unemployed population > Aged 25-54 > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 25-54 Females
460,336051,LFUN25MA,Labour Force Survey - quarterly levels > Unemployed population > Aged 25-54 > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 25-54 Males
461,336872,LFUN25MA,Labour Force Survey - quarterly levels > Unemployed population > Aged 25-54 > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 25-54 Males
462,337693,LFUN25TT,Labour Force Survey - quarterly levels > Unemployed population > Aged 25-54 > Total,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 25-54 Total
463,338514,LFUN25TT,Labour Force Survey - quarterly levels > Unemployed population > Aged 25-54 > Total,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 25-54 Total
464,339335,LFUN55FE,Labour Force Survey - quarterly levels > Unemployed population > Aged 55-64 > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 55-64 Females
465,340156,LFUN55FE,Labour Force Survey - quarterly levels > Unemployed population > Aged 55-64 > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 55-64 Females
466,340797,LFUN55MA,Labour Force Survey - quarterly levels > Unemployed population > Aged 55-64 > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 55-64 Males
467,341618,LFUN55MA,Labour Force Survey - quarterly levels > Unemployed population > Aged 55-64 > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 55-64 Males
468,342259,LFUN55TT,Labour Force Survey - quarterly levels > Unemployed population > Aged 55-64 > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 55-64 All persons
469,343080,LFUN55TT,Labour Force Survey - quarterly levels > Unemployed population > Aged 55-64 > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 55-64 All persons
470,343721,LFUN64FE,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-64 > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15-64 Females
471,344542,LFUN64FE,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-64 > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15-64 Females
472,345183,LFUN64MA,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-64 > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15-64 Males
473,346004,LFUN64MA,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-64 > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15-64 Males
474,346645,LFUN64TT,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-64 > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15-64 All persons
475,347466,LFUN64TT,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-64 > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15-64 All persons
476,348107,LFUN74FE,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-74 > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15-74 Females
477,348616,LFUN74FE,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-74 > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15-74 Females
478,349125,LFUN74MA,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-74 > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15-74 Males
479,349634,LFUN74MA,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-74 > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15-74 Males
480,350143,LFUN74TT,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-74 > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15-74 All persons
481,350652,LFUN74TT,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-74 > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15-74 All persons
482,351161,LFUNTTFE,Labour Force Survey - quarterly levels > Unemployed population > Aged 15 and over > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15 and over Females
483,351982,LFUNTTFE,Labour Force Survey - quarterly levels > Unemployed population > Aged 15 and over > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15 and over Females
484,352803,LFUNTTMA,Labour Force Survey - quarterly levels > Unemployed population > Aged 15 and over > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15 and over Males
485,353624,LFUNTTMA,Labour Force Survey - quarterly levels > Unemployed population > Aged 15 and over > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15 and over Males
486,354445,LFUNTTTT,Labour Force Survey - quarterly levels > Unemployed population > Aged 15 and over > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15 and over All persons
487,355266,LFUNTTTT,Labour Force Survey - quarterly levels > Unemployed population > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Unemployed population Aged 15 and over All persons
488,356087,LFWA24FE,Labour Force Survey - quarterly levels > Working age population > Aged 15-24 > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Working age population Aged 15-24 Females
489,356908,LFWA24FE,Labour Force Survey - quarterly levels > Working age population > Aged 15-24 > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Working age population Aged 15-24 Females
490,357465,LFWA24MA,Labour Force Survey - quarterly levels > Working age population > Aged 15-24 > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Working age population Aged 15-24 Males
491,358286,LFWA24MA,Labour Force Survey - quarterly levels > Working age population > Aged 15-24 > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Working age population Aged 15-24 Males
492,358843,LFWA24TT,Labour Force Survey - quarterly levels > Working age population > Aged 15-24 > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Working age population Aged 15-24 All persons
493,359664,LFWA24TT,Labour Force Survey - quarterly levels > Working age population > Aged 15-24 > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Working age population Aged 15-24 All persons
494,360221,LFWA25FE,Labour Force Survey - quarterly levels > Working age population > Aged 25-54 > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Working age population Aged 25-54 Females
495,361042,LFWA25FE,Labour Force Survey - quarterly levels > Working age population > Aged 25-54 > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Working age population Aged 25-54 Females
496,361599,LFWA25MA,Labour Force Survey - quarterly levels > Working age population > Aged 25-54 > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Working age population Aged 25-54 Males
497,362420,LFWA25MA,Labour Force Survey - quarterly levels > Working age population > Aged 25-54 > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Working age population Aged 25-54 Males
